Sample,FlyID,Label,Collection,Females,Males,Total,PropFemale,Notes
aff_SM15_M202,SM15-M202,SM15-M202,Smoky Mountains (2015),19,4,23,0.8260869565,
aff_SM15_M204,SM15-M204,SM15-M204,Smoky Mountains (2015),25,18,43,0.5813953488,
aff_SM15_M207,SM15-M207,SM15-M207,Smoky Mountains (2015),17,16,33,0.5151515152,
aff_SM15_M208,SM15-M208,SM15-M208,Smoky Mountains (2015),21,26,47,0.4468085106,
aff_SM15_M210,SM15-M210,SM15-M210,Smoky Mountains (2015),13,60,73,0.1780821918,
aff_SM15_M22,SM15-M22,SM15-M22,Smoky Mountains (2015),101,92,193,0.5233160622,
aff_SM15_M71,SM15-M71,SM15-M71,Smoky Mountains (2015),20,22,42,0.4761904762,
aff_SM15_M98,SM15-M98,SM15-M98,Smoky Mountains (2015),70,9,79,0.8860759494,L+
aff_SM_M13,SM15-M13,SM15-M13,Smoky Mountains (2015),61,42,103,0.5922330097,L+
aff_SM_M4,SM15-M4,SM15-M4,Smoky Mountains (2015),21,0,21,1,L+
aff_SM_M8,SM15-M8,SM15-M8,Smoky Mountains (2015),111,3,114,0.9736842105,L+
aff_yaf_141,20110500_Yaf141,Yaf141,"Athens, GA (May 2011)",109,1,110,0.9909090909,
aff_yaf_144,20110500_Yaf144,Yaf144,"Athens, GA (May 2011)",84,3,87,0.9655172414,
aff_yaf_170,20110500_Yaf170,Yaf170,"Athens, GA (May 2011)",38,2,40,0.95,
aff_yaf_194,20110500_Yaf194,Yaf194,Pittsford NY (May 2011),39,1,40,0.975,
aff_yaf_54,20110500_Yaf54,Yaf54,"Athens, GA (May 2011)",100,13,113,0.8849557522,
